Student Number,Primary Last Name,Primary First Name,Primary Middle Name,Preferred First Name,Email Address,Mailing Address,Phone Number
301593303,Gupta,Udhav,,Udhav,ugupta@sfu.ca,"4259 Maple Place, Brackendale BC VU3 9Y8 Canada",778/901-1166
300000001,Lee,Elizabeth,,Elizabeth,elee@sfu.ca,"4893 Spruce Dr, Burnaby BC VX8 5Y6 Canada",778/369-2929
300000002,Brown,Christopher,,Christopher,cbrown@sfu.ca,"4274 Maple Place, Abbotsford BC VF6 0J4 Canada",778/852-4095
300000003,Moore,Amanda,,Amanda,amoore@sfu.ca,"5111 Oak Dr, Mission BC VF0 2O4 Canada",778/505-2514
300000004,Harris,Carol,,Carol,charris@sfu.ca,"8574 Main St, Chilliwack BC VR2 0X6 Canada",778/981-2777
300000005,Taylor,Deborah,,Deborah,dtaylor@sfu.ca,"2648 Pine Rd, Vancouver BC VS1 0G3 Canada",778/356-5008
300000006,Torres,Michelle,,Michelle,mtorres@sfu.ca,"1719 Oak Dr, Richmond BC VC3 8M9 Canada",778/804-1526
300000007,Robinson,Carol,,Carol,crobinson@sfu.ca,"8426 Kingsway, Mission BC VY0 5R1 Canada",778/871-9986
300000008,Young,Emily,,Emily,eyoung@sfu.ca,"8288 Cedar Ln, Maple Ridge BC VB5 9J1 Canada",778/888-9649
300000009,Walker,David,,David,dwalker@sfu.ca,"4847 Cedar Ln, Chilliwack BC VD6 8B0 Canada",778/581-4825
300000010,Gonzalez,Sandra,,Sandra,sgonzalez@sfu.ca,"7343 Ash St, Burnaby BC VU8 6P5 Canada",778/787-7555
300000011,Williams,Donna,,Donna,dwilliams@sfu.ca,"4436 Broadway, Coquitlam BC VF7 6X8 Canada",778/535-6525
300000012,Martinez,Karen,,Karen,kmartinez@sfu.ca,"7127 Kingsway, Richmond BC VW7 0A0 Canada",778/620-6897
300000013,Harris,Melissa,,Melissa,mharris@sfu.ca,"2732 123 Ave, Surrey BC VM4 5N3 Canada",778/602-5138
300000014,Cook,Richard,,Richard,rcook@sfu.ca,"3949 Oak Dr, New Westminster BC VU4 5D4 Canada",778/175-9741
300000015,Collins,Christopher,,Christopher,ccollins@sfu.ca,"5678 Main St, Port Moody BC VN6 6W3 Canada",778/515-2537
300000016,Taylor,Michelle,,Michelle,mtaylor@sfu.ca,"1490 Granville St, Surrey BC VN1 2D2 Canada",778/524-8201
300000017,Robinson,Donna,,Donna,drobinson@sfu.ca,"3411 Kingsway, Coquitlam BC VJ1 3L0 Canada",778/155-7349
300000018,Thompson,Margaret,,Margaret,mthompson@sfu.ca,"9433 Pine Rd, Langley BC VW8 2L2 Canada",778/715-9713
300000019,Morris,Jessica,,Jessica,jmorris@sfu.ca,"3879 Broadway, Port Moody BC VJ1 3Y7 Canada",778/666-9450
300000020,Davis,Matthew,,Matthew,mdavis@sfu.ca,"8857 Elm Street, Pitt Meadows BC VL8 9A7 Canada",778/354-1349
300000021,Hernandez,Karen,,Karen,khernandez@sfu.ca,"4701 123 Ave, Abbotsford BC VF8 4Q4 Canada",778/986-2878
300000022,Collins,Matthew,,Matthew,mcollins@sfu.ca,"3998 University Crescent, New Westminster BC VR6 6P0 Canada",778/921-4123
300000023,Torres,Melissa,,Melissa,mtorres@sfu.ca,"8782 Oak Dr, Maple Ridge BC VX3 2U3 Canada",778/548-2624
300000024,Reeves,Richard,,Richard,rreeves@sfu.ca,"1572 Kingsway, Surrey BC VX8 6N4 Canada",778/707-9808
300000025,Wright,Michael,,Michael,mwright@sfu.ca,"7535 University Crescent, Maple Ridge BC VC1 1Z3 Canada",778/972-5867
300000026,King,Joseph,,Joseph,jking@sfu.ca,"7224 Maple Place, Brackendale BC VR0 8F9 Canada",778/502-9530
300000027,Stewart,William,,William,wstewart@sfu.ca,"1495 Willow St, Chilliwack BC VJ2 8U8 Canada",778/969-7236
300000028,Lopez,Linda,,Linda,llopez@sfu.ca,"896 123 Ave, Mission BC VW9 5X4 Canada",778/362-1304
300000029,Garcia,Matthew,,Matthew,mgarcia@sfu.ca,"9976 Cedar Ln, Surrey BC VQ3 3Q2 Canada",778/581-9678
300000030,Thompson,Sandra,,Sandra,sthompson@sfu.ca,"110 Kingsway, Vancouver BC VL6 0E1 Canada",778/930-1263
300000031,Morales,Matthew,,Matthew,mmorales@sfu.ca,"361 123 Ave, New Westminster BC VH3 7Z0 Canada",778/315-8805
300000032,Lewis,George,,George,glewis@sfu.ca,"6450 Granville St, New Westminster BC VP6 9L6 Canada",778/987-8742
300000033,Jones,Michelle,,Michelle,mjones@sfu.ca,"3406 Spruce Dr, Vancouver BC VC5 4I5 Canada",778/559-5775
300000034,Allen,Susan,,Susan,sallen@sfu.ca,"5627 University Crescent, Surrey BC VW5 3B9 Canada",778/607-3932
300000035,Williams,Nancy,,Nancy,nwilliams@sfu.ca,"4919 Ash St, Vancouver BC VK1 5R0 Canada",778/760-4084
300000036,Walker,Christopher,,Christopher,cwalker@sfu.ca,"5936 Spruce Dr, Langley BC VX1 8P3 Canada",778/611-6969
300000037,Walker,Robert,,Robert,rwalker@sfu.ca,"6262 Granville St, Maple Ridge BC VX7 1M8 Canada",778/917-7804
300000038,Young,Elizabeth,,Elizabeth,eyoung@sfu.ca,"5241 Granville St, Chilliwack BC VD0 4X2 Canada",778/175-6671
300000039,Perez,William,,William,wperez@sfu.ca,"1454 Birch Ave, Richmond BC VV5 4B9 Canada",778/941-6210
300000040,Collins,Linda,,Linda,lcollins@sfu.ca,"1494 Ash Ave, Pitt Meadows BC VM6 6T1 Canada",778/791-9610
300000041,Morales,Anthony,,Anthony,amorales@sfu.ca,"7821 Willow St, Coquitlam BC VS1 2P4 Canada",778/530-4669
300000042,Ramirez,Jennifer,,Jennifer,jramirez@sfu.ca,"5513 123 Ave, Pitt Meadows BC VI6 6Q6 Canada",778/556-5239
300000043,Williams,Donna,,Donna,dwilliams@sfu.ca,"2113 Main St, Coquitlam BC VT6 2S1 Canada",778/167-2597
300000044,Edwards,William,,William,wedwards@sfu.ca,"8558 Main St, Mission BC VE4 5M2 Canada",778/327-5696
300000045,Clark,Thomas,,Thomas,tclark@sfu.ca,"3102 Ash St, Brackendale BC VF5 3Y5 Canada",778/401-2272
300000046,Phillips,Stephanie,,Stephanie,sphillips@sfu.ca,"1320 Birch Ave, Port Moody BC VG5 2Y8 Canada",778/455-5054
300000047,Moore,George,,George,gmoore@sfu.ca,"5941 Broadway, Mission BC VT8 1O2 Canada",778/357-4172
300000048,Thompson,Joshua,,Joshua,jthompson@sfu.ca,"2635 Spruce Dr, New Westminster BC VJ1 3C8 Canada",778/663-6166
